assists,attacking_bonus,big_chances_created,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clearances_blocks_interceptions,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,crosses,defending_bonus,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,id,in_dreamteam,key_passes,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,recoveries,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
2,3,1,100,100,7,61,95814,0,0,-3,3,17,5,1,2,7.7,0.0,1,Simon,0.0,20,1,35,False,16,1479,,2021-07-10T16:30:43.821039Z,52,0,0,0,95814.jpg,3.3,63,0,0,Sandberg,1.4,False,None,a,2,1987,80,353,0,428,0,0.0,15.4,Sandberg,2
0,0,0,100,100,5,95,82178,0,0,-3,3,0,12,1,2,4.0,0.0,1,Richard,0.0,10,1,36,False,1,933,,2021-10-19T06:33:32.079336Z,47,0,0,0,82178.jpg,3.8,45,0,0,Magyar,0.9,False,None,a,2,1987,57,175,0,350,0,0.0,12.1,Magyar,3
7,19,4,100,100,6,82,229216,0,0,3,-3,46,7,3,2,0.7,0.0,2,Mohanad,0.0,36,1,37,False,70,2310,,2021-11-20T23:30:10.520414Z,63,0,0,0,229216.jpg,4.1,114,0,0,Jeahze,9.2,False,None,a,2,1987,111,7774,0,6690,0,0.0,17.6,Jeahze,5
0,0,0,0,0,0,0,510921,0,0,-2,2,0,0,0,2,0.0,0.0,0,Axel,0.0,2,0,38,False,0,66,Utlånad till Brage,2021-08-05T15:03:56.613590Z,38,0,0,0,510921.jpg,1.0,4,0,0,Sjöberg,1.2,False,None,u,2,1987,2,165,0,514,0,0.0,0.5,Sjöberg,0
0,0,0,0,0,4,121,64570,0,0,-2,2,2,21,1,2,0.0,0.0,0,Jon Gudni,0.0,28,1,39,False,3,1816,Knäskadad. Missar resten av säsongen,2021-10-05T12:03:32.199189Z,58,0,0,0,64570.jpg,3.5,120,0,0,Fjoluson,3.4,False,None,i,2,1987,73,370,0,1180,0,0.0,12.6,Fjoluson,2
0,0,0,100,100,6,77,487656,0,0,-2,2,2,15,2,2,4.7,0.0,1,Aziz,0.0,21,2,40,False,4,1475,,2021-10-29T08:25:41.230534Z,43,0,0,0,487656.jpg,3.2,115,0,0,Ouattara,2.6,False,None,a,2,1987,78,1333,0,1089,0,0.0,18.1,Ouattara,7
1,3,2,100,100,4,57,165784,0,0,-3,3,4,16,0,3,4.3,0.0,3,Jeppe,0.0,30,2,41,False,28,1844,,2021-07-13T08:24:28.907507Z,57,0,0,0,165784.jpg,2.9,155,0,0,Andersen,1.3,False,None,a,2,1987,75,204,0,461,0,0.0,13.2,Andersen,5
1,2,2,None,None,0,1,509478,0,0,-5,5,0,0,0,3,1.0,0.0,0,Mayckel,0.0,2,0,42,False,2,127,,None,45,0,0,0,509478.jpg,1.6,8,0,0,Lahdo,0.0,False,None,a,2,1987,11,11,0,18,0,0.0,2.4,Lahdo,1
0,0,0,0,0,0,0,447877,0,0,-2,2,0,0,0,3,0.0,0.0,0,Abdul-Halik,0.0,0,0,43,False,0,1,Har lämnat för Lyngby.,2021-07-16T13:18:28.425312Z,43,0,0,0,447877.jpg,1.0,1,0,0,Hudu,0.2,False,None,u,2,1987,1,27,0,130,0,0.0,0.2,Hudu,0
2,3,2,0,0,1,16,82273,0,0,0,0,8,3,2,3,0.0,0.0,0,Abbe,0.0,16,4,44,False,9,837,Knäopererad. Missar resten av säsongen,2021-09-23T15:56:09.929756Z,75,0,0,0,82273.jpg,3.8,55,0,0,Khalili,5.6,False,None,i,2,1987,50,5090,0,4952,0,0.0,6.7,A Khalili,4
7,10,7,None,None,7,15,482331,0,0,4,-4,8,10,4,3,3.7,0.0,10,Akinkunmi,0.0,22,9,45,False,35,1839,,None,74,0,1,0,482331.jpg,4.7,138,0,0,Amoo,27.6,False,None,a,2,1987,137,14505,0,12292,0,0.0,18.5,Amoo,2
0,1,1,0,0,2,10,483091,0,0,-2,2,1,1,0,3,0.0,0.0,0,Aimar,0.0,5,0,46,False,4,467,Lämnat för Spezia,2021-09-22T15:33:33.690995Z,48,0,0,0,483091.jpg,1.3,20,0,0,Sher,0.3,False,None,u,2,1987,13,28,0,137,0,0.0,2.7,Sher,5
1,4,3,None,None,3,23,170163,0,0,-4,4,5,8,0,3,1.7,0.0,0,Vladimir,0.0,17,1,47,False,14,1048,,None,61,0,0,0,170163.jpg,2.6,92,0,0,Rodic,0.9,False,None,a,2,1987,54,103,0,375,0,0.0,8.9,Rodic,0
0,0,0,None,None,0,0,41102,0,0,-3,3,0,0,0,3,0.0,0.0,0,Imad,0.0,0,0,48,False,0,0,,None,62,0,0,0,41102.jpg,0.0,0,0,0,Khalili,0.4,False,None,a,2,1987,0,62,0,216,0,0.0,0.0,I Khalili,0
3,18,6,100,100,5,35,157816,0,0,-4,4,33,14,1,3,1.0,0.0,5,Darijan,0.0,32,1,49,False,58,1956,,2021-08-24T08:46:54.484887Z,86,0,1,0,157816.jpg,3.2,147,0,0,Bojanic,1.3,False,None,a,2,1987,92,879,0,917,0,0.0,10.7,Bojanic,5
0,1,0,100,100,2,2,48682,0,0,-2,2,1,0,0,3,4.3,0.0,1,Paulinho,0.0,2,1,50,False,4,301,,2021-10-14T08:58:14.235094Z,78,0,0,0,48682.jpg,1.7,17,0,0,Guerreiro,0.2,False,None,a,2,1987,19,41,0,89,0,0.0,2.4,Paulinho,2
7,11,9,100,100,6,16,486075,0,0,-2,2,3,0,2,4,2.7,0.0,23,Astrit,0.0,31,9,51,False,29,1950,,2021-11-22T12:53:25.803686Z,103,0,0,0,486075.jpg,4.5,53,0,0,Selmani,13.6,False,None,a,2,1987,118,3849,0,8353,0,0.0,11.5,Selmani,6
0,0,0,0,0,0,0,481032,0,0,-3,3,0,0,0,4,0.0,0.0,0,Filston,0.0,0,0,52,False,0,0,Skadad. Tillbaka i spel: okänt,2021-11-22T13:31:25.544395Z,42,0,0,0,481032.jpg,0.0,0,0,0,Mawana,0.2,False,None,i,2,1987,0,21,0,59,0,0.0,0.0,Mawana,0
5,8,3,None,None,8,49,484488,0,0,0,0,7,6,1,3,6.3,0.0,9,Gustav,0.0,38,11,53,False,36,2501,,None,95,0,0,0,484488.jpg,4.9,91,0,0,Ludwigson,27.5,False,None,a,2,1987,147,11419,0,11753,0,0.0,15.5,Ludwigson,1
2,1,1,100,100,1,8,126174,0,0,-3,3,0,0,0,3,0.0,0.0,0,David,0.0,5,1,54,False,6,452,,2021-07-22T20:45:11.443270Z,82,0,0,0,126174.jpg,2.0,27,0,0,Accam,0.3,False,None,a,2,1987,26,115,0,225,0,0.0,3.2,Accam,2
0,0,0,0,0,0,3,473998,0,0,-4,4,0,0,0,4,0.0,0.0,0,Loue,0.0,1,0,55,False,0,72,Utlånad till Zeleznicar Pancevo,2021-09-15T16:18:02.975368Z,41,0,0,0,473998.jpg,1.0,1,0,0,Bayere Junior,0.3,False,None,u,2,1987,5,168,0,201,0,0.0,1.2,Bayere Junior,0
0,0,0,None,None,0,0,481671,0,0,0,0,0,0,0,1,0.0,0.0,0,Ian,0.0,0,0,440,False,0,0,,None,40,0,0,0,481671.jpg,0.0,0,0,0,Pettersson,0.3,False,None,a,2,1987,0,113,0,56,0,0.0,0.0,Pettersson,0
2,2,1,100,100,2,16,543932,0,0,0,0,4,0,1,3,0.7,0.0,1,Williot,0.0,14,2,451,False,8,747,,2021-09-23T15:56:09.947556Z,45,0,0,0,543932.jpg,2.2,41,0,0,Swedberg,1.4,False,None,a,2,1987,41,856,0,307,0,0.0,9.1,Swedberg,2
2,1,1,None,None,6,121,78897,0,0,-4,4,0,21,1,2,6.7,0.0,1,Bjørn,0.0,24,2,460,False,4,1630,,None,61,2,0,0,78897.jpg,4.3,88,0,0,Paulsen,2.0,False,None,a,2,1987,87,2506,0,1809,0,0.0,14.3,Paulsen,2
