,Season,Formation,Budget,Best total cost,Best total points,Individual costs,Sorted individual costs,Id
2,,,600,599,1509,"[46, 50, 55, 44, 52, 59, 106, 45, 46, 49, 47]","[44, 45, 46, 46, 47, 49, 50, 52, 55, 59, 106]","[548, 187, 302, 127, 132, 70, 234, 171, 468, 443, 350]"
3,,,650,650,1668,"[52, 54, 55, 52, 52, 59, 106, 46, 58, 69, 47]","[46, 47, 52, 52, 52, 54, 55, 58, 59, 69, 106]","[348, 437, 302, 132, 414, 70, 234, 468, 381, 97, 350]"
4,,,700,700,1787,"[54, 54, 55, 52, 59, 91, 106, 49, 64, 69, 47]","[47, 49, 52, 54, 54, 55, 59, 64, 69, 91, 106]","[437, 373, 302, 132, 70, 247, 234, 443, 245, 97, 350]"
5,,,750,750,1896,"[54, 55, 88, 52, 59, 91, 106, 58, 69, 71, 47]","[47, 52, 54, 55, 58, 59, 69, 71, 88, 91, 106]","[437, 302, 209, 132, 70, 247, 234, 381, 97, 100, 350]"
6,,,800,797,1981,"[55, 88, 95, 52, 59, 91, 106, 64, 69, 71, 47]","[47, 52, 55, 59, 64, 69, 71, 88, 91, 95, 106]","[302, 209, 235, 132, 70, 247, 234, 245, 97, 100, 350]"
7,,,850,844,2047,"[55, 88, 95, 59, 87, 91, 106, 64, 69, 71, 59]","[55, 59, 59, 64, 69, 71, 87, 88, 91, 95, 106]","[302, 209, 235, 70, 199, 247, 234, 245, 97, 100, 260]"
8,,,900,895,2103,"[88, 95, 131, 59, 87, 91, 106, 58, 64, 69, 47]","[47, 58, 59, 64, 69, 87, 88, 91, 95, 106, 131]","[209, 235, 394, 70, 199, 247, 234, 381, 245, 97, 350]"
9,,,950,946,2160,"[88, 95, 131, 87, 91, 97, 106, 64, 69, 71, 47]","[47, 64, 69, 71, 87, 88, 91, 95, 97, 106, 131]","[209, 235, 394, 199, 247, 387, 234, 245, 97, 100, 350]"
10,,,1000,974,2189,"[88, 95, 131, 91, 97, 103, 106, 64, 69, 71, 59]","[59, 64, 69, 71, 88, 91, 95, 97, 103, 106, 131]","[209, 235, 394, 247, 387, 252, 234, 245, 97, 100, 260]"
0,,"[3, 5, 2]",500,500,1131,"[46, 49, 43, 43, 44, 45, 52, 41, 44, 46, 47]","[41, 43, 43, 44, 44, 45, 46, 46, 47, 49, 52]","[548, 159, 367, 41, 127, 90, 132, 220, 117, 468, 350]"
1,,"[3, 5, 2]",550,549,1379,"[50, 55, 44, 50, 52, 52, 59, 45, 46, 49, 47]","[44, 45, 46, 47, 49, 50, 50, 52, 52, 55, 59]","[187, 302, 127, 250, 132, 414, 70, 171, 468, 443, 350]"
2,,"[3, 5, 2]",600,600,1543,"[46, 55, 44, 52, 52, 59, 106, 44, 46, 49, 47]","[44, 44, 46, 46, 47, 49, 52, 52, 55, 59, 106]","[548, 302, 127, 132, 414, 70, 234, 117, 468, 443, 350]"
3,,"[3, 5, 2]",650,650,1699,"[54, 55, 52, 52, 59, 61, 106, 46, 49, 69, 47]","[46, 47, 49, 52, 52, 54, 55, 59, 61, 69, 106]","[437, 302, 132, 414, 70, 342, 234, 468, 443, 97, 350]"
4,,"[3, 5, 2]",700,698,1817,"[54, 55, 52, 59, 61, 91, 106, 46, 58, 69, 47]","[46, 47, 52, 54, 55, 58, 59, 61, 69, 91, 106]","[437, 302, 132, 70, 342, 247, 234, 468, 381, 97, 350]"
5,,"[3, 5, 2]",750,750,1933,"[55, 88, 52, 59, 61, 91, 106, 58, 64, 69, 47]","[47, 52, 55, 58, 59, 61, 64, 69, 88, 91, 106]","[302, 209, 132, 70, 342, 247, 234, 381, 245, 97, 350]"
6,,"[3, 5, 2]",800,798,2006,"[55, 88, 59, 61, 87, 91, 106, 64, 69, 71, 47]","[47, 55, 59, 61, 64, 69, 71, 87, 88, 91, 106]","[302, 209, 70, 342, 199, 247, 234, 245, 97, 100, 350]"
7,,"[3, 5, 2]",850,850,2078,"[88, 95, 59, 61, 87, 91, 106, 64, 69, 71, 59]","[59, 59, 61, 64, 69, 71, 87, 88, 91, 95, 106]","[209, 235, 70, 342, 199, 247, 234, 245, 97, 100, 260]"
8,,"[3, 5, 2]",900,892,2132,"[88, 95, 59, 87, 91, 103, 106, 64, 69, 71, 59]","[59, 59, 64, 69, 71, 87, 88, 91, 95, 103, 106]","[209, 235, 70, 199, 247, 252, 234, 245, 97, 100, 260]"
9,,"[3, 5, 2]",950,948,2175,"[88, 131, 87, 91, 97, 103, 106, 58, 69, 71, 47]","[47, 58, 69, 71, 87, 88, 91, 97, 103, 106, 131]","[209, 394, 199, 247, 387, 252, 234, 381, 97, 100, 350]"
10,,"[3, 5, 2]",1000,966,2203,"[88, 131, 87, 91, 97, 103, 106, 64, 69, 71, 59]","[59, 64, 69, 71, 87, 88, 91, 97, 103, 106, 131]","[209, 394, 199, 247, 387, 252, 234, 245, 97, 100, 260]"
0,,,500,500,1106,"[46, 49, 50, 43, 44, 45, 41, 44, 45, 46, 47]","[41, 43, 44, 44, 45, 45, 46, 46, 47, 49, 50]","[548, 159, 187, 367, 127, 90, 220, 117, 171, 468, 350]"
1,,,550,550,1357,"[46, 50, 55, 52, 52, 59, 45, 46, 49, 49, 47]","[45, 46, 46, 47, 49, 49, 50, 52, 52, 55, 59]","[548, 187, 302, 132, 414, 70, 171, 468, 443, 290, 350]"
2,,,600,599,1507,"[46, 50, 55, 52, 59, 106, 44, 45, 46, 49, 47]","[44, 45, 46, 46, 47, 49, 50, 52, 55, 59, 106]","[548, 187, 302, 132, 70, 234, 117, 171, 468, 443, 350]"
3,,,650,649,1659,"[54, 54, 55, 52, 59, 106, 46, 49, 58, 69, 47]","[46, 47, 49, 52, 54, 54, 55, 58, 59, 69, 106]","[437, 373, 302, 132, 70, 234, 468, 443, 381, 97, 350]"
4,,,700,698,1772,"[54, 55, 88, 52, 59, 106, 46, 58, 64, 69, 47]","[46, 47, 52, 54, 55, 58, 59, 64, 69, 88, 106]","[437, 302, 209, 132, 70, 234, 468, 381, 245, 97, 350]"
