cost,points_total,indexes
954,1437,"[372, 253, 270, 122, 295, 246, 247, 288, 267, 117, 111]"
957,1568,"[372, 253, 270, 122, 295, 288, 265, 113, 267, 264, 468]"
955,1512,"[372, 253, 270, 122, 295, 288, 265, 113, 267, 264, 282]"
953,1392,"[372, 253, 270, 122, 295, 288, 265, 113, 267, 264, 111]"
956,1565,"[372, 253, 270, 122, 295, 288, 265, 113, 267, 355, 468]"
954,1509,"[372, 253, 270, 122, 295, 288, 265, 113, 267, 355, 282]"
952,1389,"[372, 253, 270, 122, 295, 288, 265, 113, 267, 355, 111]"
955,1535,"[372, 253, 270, 122, 295, 246, 288, 267, 264, 355, 468]"
953,1479,"[372, 253, 270, 122, 295, 246, 288, 267, 264, 355, 282]"
951,1359,"[372, 253, 270, 122, 295, 246, 288, 267, 264, 355, 111]"
954,1522,"[372, 253, 270, 122, 295, 288, 265, 113, 267, 360, 468]"
952,1466,"[372, 253, 270, 122, 295, 288, 265, 113, 267, 360, 282]"
950,1346,"[372, 253, 270, 122, 295, 288, 265, 113, 267, 360, 111]"
953,1492,"[372, 253, 270, 122, 295, 246, 288, 267, 264, 360, 468]"
951,1436,"[372, 253, 270, 122, 295, 246, 288, 267, 264, 360, 282]"
949,1316,"[372, 253, 270, 122, 295, 246, 288, 267, 264, 360, 111]"
952,1477,"[372, 253, 270, 122, 295, 288, 265, 267, 264, 355, 468]"
950,1421,"[372, 253, 270, 122, 295, 288, 265, 267, 264, 355, 282]"
948,1301,"[372, 253, 270, 122, 295, 288, 265, 267, 264, 355, 111]"
951,1470,"[372, 253, 270, 122, 295, 246, 288, 267, 264, 117, 468]"
949,1414,"[372, 253, 270, 122, 295, 246, 288, 267, 264, 117, 282]"
947,1294,"[372, 253, 270, 122, 295, 246, 288, 267, 264, 117, 111]"
950,1434,"[372, 253, 270, 122, 295, 288, 265, 267, 264, 360, 468]"
948,1378,"[372, 253, 270, 122, 295, 288, 265, 267, 264, 360, 282]"
946,1258,"[372, 253, 270, 122, 295, 288, 265, 267, 264, 360, 111]"
949,1431,"[372, 253, 270, 122, 295, 288, 265, 267, 355, 360, 468]"
947,1375,"[372, 253, 270, 122, 295, 288, 265, 267, 355, 360, 282]"
945,1255,"[372, 253, 270, 122, 295, 288, 265, 267, 355, 360, 111]"
948,1412,"[372, 253, 270, 122, 295, 288, 265, 267, 264, 117, 468]"
946,1356,"[372, 253, 270, 122, 295, 288, 265, 267, 264, 117, 282]"
944,1236,"[372, 253, 270, 122, 295, 288, 265, 267, 264, 117, 111]"
947,1409,"[372, 253, 270, 122, 295, 288, 265, 267, 355, 117, 468]"
945,1353,"[372, 253, 270, 122, 295, 288, 265, 267, 355, 117, 282]"
943,1233,"[372, 253, 270, 122, 295, 288, 265, 267, 355, 117, 111]"
946,1391,"[372, 253, 270, 122, 295, 288, 267, 264, 353, 360, 468]"
944,1335,"[372, 253, 270, 122, 295, 288, 267, 264, 353, 360, 282]"
942,1215,"[372, 253, 270, 122, 295, 288, 267, 264, 353, 360, 111]"
945,1351,"[372, 253, 270, 122, 295, 288, 267, 264, 355, 360, 468]"
943,1295,"[372, 253, 270, 122, 295, 288, 267, 264, 355, 360, 282]"
941,1175,"[372, 253, 270, 122, 295, 288, 267, 264, 355, 360, 111]"
943,1329,"[372, 253, 270, 122, 295, 288, 267, 264, 355, 117, 468]"
941,1273,"[372, 253, 270, 122, 295, 288, 267, 264, 355, 117, 282]"
939,1153,"[372, 253, 270, 122, 295, 288, 267, 264, 355, 117, 111]"
941,1286,"[372, 253, 270, 122, 295, 288, 267, 264, 360, 117, 468]"
939,1230,"[372, 253, 270, 122, 295, 288, 267, 264, 360, 117, 282]"
937,1110,"[372, 253, 270, 122, 295, 288, 267, 264, 360, 117, 111]"
940,1283,"[372, 253, 270, 122, 295, 288, 267, 355, 360, 117, 468]"
938,1227,"[372, 253, 270, 122, 295, 288, 267, 355, 360, 117, 282]"
936,1107,"[372, 253, 270, 122, 295, 288, 267, 355, 360, 117, 111]"
937,1272,"[372, 253, 270, 122, 295, 288, 267, 360, 284, 117, 468]"
935,1216,"[372, 253, 270, 122, 295, 288, 267, 360, 284, 117, 282]"
933,1096,"[372, 253, 270, 122, 295, 288, 267, 360, 284, 117, 111]"
935,1252,"[372, 253, 270, 122, 295, 288, 267, 360, 117, 506, 468]"
933,1196,"[372, 253, 270, 122, 295, 288, 267, 360, 117, 506, 282]"
931,1076,"[372, 253, 270, 122, 295, 288, 267, 360, 117, 506, 111]"
934,1243,"[372, 253, 270, 122, 295, 288, 267, 360, 117, 294, 468]"
932,1187,"[372, 253, 270, 122, 295, 288, 267, 360, 117, 294, 282]"
930,1067,"[372, 253, 270, 122, 295, 288, 267, 360, 117, 294, 111]"
933,1238,"[372, 253, 270, 122, 295, 288, 267, 360, 117, 121, 468]"
931,1182,"[372, 253, 270, 122, 295, 288, 267, 360, 117, 121, 282]"
929,1062,"[372, 253, 270, 122, 295, 288, 267, 360, 117, 121, 111]"
931,1216,"[372, 253, 270, 122, 295, 288, 267, 360, 117, 501, 468]"
929,1160,"[372, 253, 270, 122, 295, 288, 267, 360, 117, 501, 282]"
927,1040,"[372, 253, 270, 122, 295, 288, 267, 360, 117, 501, 111]"
926,1213,"[372, 253, 270, 122, 295, 288, 360, 284, 117, 501, 468]"
924,1157,"[372, 253, 270, 122, 295, 288, 360, 284, 117, 501, 282]"
922,1037,"[372, 253, 270, 122, 295, 288, 360, 284, 117, 501, 111]"
925,1206,"[372, 253, 270, 122, 295, 288, 360, 117, 294, 121, 468]"
923,1150,"[372, 253, 270, 122, 295, 288, 360, 117, 294, 121, 282]"
921,1030,"[372, 253, 270, 122, 295, 288, 360, 117, 294, 121, 111]"
924,1192,"[372, 253, 270, 122, 295, 288, 267, 117, 501, 290, 468]"
922,1136,"[372, 253, 270, 122, 295, 288, 267, 117, 501, 290, 282]"
920,1016,"[372, 253, 270, 122, 295, 288, 267, 117, 501, 290, 111]"
923,1184,"[372, 253, 270, 122, 295, 288, 360, 117, 294, 501, 468]"
921,1128,"[372, 253, 270, 122, 295, 288, 360, 117, 294, 501, 282]"
919,1008,"[372, 253, 270, 122, 295, 288, 360, 117, 294, 501, 111]"
922,1179,"[372, 253, 270, 122, 295, 288, 360, 117, 121, 501, 468]"
920,1123,"[372, 253, 270, 122, 295, 288, 360, 117, 121, 501, 282]"
