first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Sander,Tangvik,0,0,0,0,0,0,0,0,2.8,39,GK
Markus,Henriksen,1,0,21,703,13,2,1,1,2.3,64,DEF
Hólmar Örn,Eyjólfsson,2,2,52,1440,20,3,0,5,1.6,63,DEF
Jonathan,Augustinsson,0,1,24,661,9,2,0,2,0.1,64,DEF
Erlend,Dahl Reitan,1,10,102,2490,37,5,0,4,17.5,63,DEF
Adam,Andersson,0,4,72,2306,36,5,1,3,2.5,57,DEF
Even,Hovland,2,2,84,2565,40,6,0,1,6.8,59,DEF
Besim,Serbecic,1,0,20,632,11,1,0,1,1.6,54,DEF
Gustav,Valsvik,3,2,107,2595,42,7,1,1,8.7,57,DEF
Mikkel,Konradsen Ceide,0,0,1,4,0,0,0,0,1.2,39,DEF
Pawel,Chrupalla,0,0,0,0,0,0,0,0,0.2,39,DEF
Kristoffer,Zachariassen,8,3,82,1080,17,3,0,4,14.4,103,MID
Stefano,Vecchia,11,1,104,1250,20,3,0,0,5.1,93,MID
Emil,Konradsen Ceïde,5,3,84,1523,20,3,0,2,3.5,80,MID
Carlo,Holse,7,7,125,2297,36,4,0,0,10.6,81,MID
Anders,Ågnes Konradsen,2,0,34,784,12,1,0,0,1.0,69,MID
Per Ciljan,Skjelbred,1,3,37,932,16,1,0,4,0.2,54,MID
Edvard,Tagseth,1,2,49,1218,23,3,0,3,0.6,54,MID
Vebjørn,Hoff,0,4,49,1400,19,4,0,3,3.6,51,MID
Dino,Islamovic,6,2,74,1478,23,3,0,3,7.5,104,FWD
Guillermo,Molins,2,2,32,548,9,1,0,1,2.1,88,FWD
Ole Christian,Saeter,0,0,1,1,0,0,0,0,0.1,74,FWD
Rasmus,Wiedesheim-Paul,3,1,35,495,6,1,0,0,1.0,60,FWD
Iven,Austbø,0,0,19,900,21,0,0,1,3.1,51,GK
Arild,Østbø,0,0,41,1240,17,3,0,1,0.5,50,GK
Trym,Sølvberg Ur,0,0,0,0,0,0,0,0,0.4,40,GK
Sondre,Flem Bjørshol,1,0,25,508,10,0,0,1,1.9,54,DEF
Shayne,Pattynama,2,6,64,888,15,2,0,3,0.5,55,DEF
Runar,Ullaland Hove,0,1,25,1253,28,0,0,1,0.5,48,DEF
Viljar,Vevatne,1,1,56,2223,44,2,0,2,3.1,47,DEF
