first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Carl,Johansson,2,0,76,1571,25,5,0,6,1.2,59,DEF
Yahya,Kalley,0,0,9,285,6,0,0,2,0.1,48,DEF
Mattias,Bjärsmyr,1,0,114,2620,38,10,0,2,8.0,54,DEF
Rasmus,Wikström,0,0,0,0,0,0,0,0,0.0,45,DEF
Jesper,Tolinsson,0,0,36,702,7,4,0,0,1.1,51,DEF
Alexander,Jallow,1,3,121,2591,37,10,0,2,17.4,55,DEF
August,Erlingmark,1,0,66,2005,26,8,0,8,2.7,48,MID
Alhassan,Yusuf,0,2,36,761,9,4,0,0,6.4,52,MID
Sebastian,Eriksson,1,1,45,1145,18,3,0,5,0.3,50,MID
Jakob,Johansson,0,0,0,0,0,0,0,0,0.1,48,MID
Hosam,Aiesh,2,5,87,1508,21,6,0,3,1.0,79,MID
Kevin,Yakob,2,1,45,918,11,3,0,2,1.8,46,MID
Gustaf,Norlin,0,1,42,989,12,4,0,1,1.3,62,MID
Isak,Dahlqvist,0,0,3,54,1,0,0,0,0.1,44,MID
Tobias,Sana,7,7,151,2598,37,10,0,1,16.1,86,MID
Tim,van Assema,0,0,0,0,0,0,0,0,0.1,44,MID
Noah,Alexandersson,0,0,1,5,1,0,0,0,0.4,43,MID
Lucas,Kahed,0,0,0,0,0,0,0,0,0.4,42,MID
Pontus,Wernbloom,0,0,9,132,0,1,0,1,0.8,64,MID
Patrik,Karlsson-Lagemyr,0,0,0,0,0,0,0,0,0.1,72,MID
Simon,Thern,1,2,54,1196,17,5,0,2,4.2,73,MID
Marek,Hamsik,1,0,23,440,7,1,0,0,1.9,124,MID
Kolbeinn,Sigthorsson,4,4,64,1358,20,4,0,1,3.1,66,FWD
Oscar,Vilhelmsson,2,2,41,776,10,4,0,0,9.4,40,FWD
Robin,Söder,2,0,27,271,7,0,0,0,1.3,83,FWD
Alfons,Nygaard,0,0,0,0,0,0,0,0,0.3,37,FWD
Filip,Ambroz,0,0,6,55,1,0,0,0,0.0,45,MID
Hannes,Lennartsson,0,0,0,0,0,0,0,0,0.0,39,DEF
Oscar,Wendt,2,3,80,1338,18,6,0,1,2.0,66,DEF
Marcus,Berg,10,4,104,1590,25,6,0,3,5.1,105,FWD
Gustav,Svensson,0,0,52,1661,27,6,0,2,0.1,50,MID
Bernardo,Vilar Estevão Jeronimo,1,0,14,353,9,0,0,1,0.0,44,DEF
Adam Ingi,Benediktsson,0,0,11,180,1,1,0,0,0.1,40,GK
Mathias,Dyngeland,0,0,0,0,0,0,0,0,0.5,46,GK
Tim,Rönning,0,0,125,2238,31,10,1,2,5.6,62,GK
Joseph,Okumu,0,0,28,535,7,2,0,1,3.0,64,DEF
Johan,Larsson,3,5,142,2174,25,11,0,4,18.9,83,DEF
Leo,Väisänen,3,1,121,2046,25,10,0,3,3.5,61,DEF
Gustav,Broman,0,0,0,0,0,0,0,0,1.0,38,DEF
Frederik,Holst,1,4,110,1973,23,11,1,6,4.0,55,DEF
Christopher,McVey,0,0,78,1611,24,8,0,3,0.6,49,DEF
Simon,Strand,0,2,127,2281,28,11,1,4,15.4,63,DEF
Oliver,Zandén,0,1,18,378,9,1,0,1,0.2,43,DEF
Maudo,Jarjue,1,1,90,1623,17,9,1,1,2.0,53,DEF
Ahmed,Qasem,0,1,12,114,0,1,0,0,0.1,48,MID
André,Römer,1,3,103,2347,29,11,0,9,1.9,61,MID
Robert,Gojani,1,3,58,1209,10,8,0,2,0.8,50,MID
Alexander,Bernhardsson,4,3,58,789,9,3,0,2,2.1,46,MID
Rasmus,Alm,6,4,97,1491,19,8,0,4,4.8,78,MID
Simon,Olsson,2,3,75,1402,21,6,0,1,1.2,69,MID
Jacob,Ondrejka,3,1,55,781,15,1,0,0,0.3,51,MID
Samuel,Holmen,1,0,25,473,11,0,0,5,0.3,48,MID
Prince,Isaac Kouame,0,0,0,0,0,0,0,0,0.1,44,MID
Jeppe,Okkels,8,3,122,2079,23,13,0,1,5.1,71,MID
Noah,Soderberg,0,0,5,81,3,0,0,1,0.1,43,MID
Jack,Cooper Love,0,0,6,32,2,0,0,0,0.4,43,FWD
Per,Frick,8,7,116,2086,24,11,0,7,9.6,85,FWD
Marokhy,Ndione,5,4,65,948,14,5,0,4,10.0,48,FWD
Kevin,Holmen,0,0,0,0,0,0,0,0,0.2,43,MID
Simon,Andersson,0,0,0,0,0,0,0,0,0.1,47,GK
Hákon Rafn,Valdimarsson,0,0,29,450,4,3,0,0,1.8,40,GK
Gustaf,Lagerbielke,0,0,1,81,5,0,0,0,0.0,49,DEF
Sveinn Aron,Gudjohnsen,3,1,26,147,4,1,1,1,0.1,65,FWD
Emmanuel,Boateng,0,0,6,146,3,1,0,1,0.0,60,MID
Ludvig,Malberg,0,0,0,0,0,0,0,0,0.0,40,GK
Peter,Abrahamsson,0,0,88,1890,32,5,0,3,0.4,64,GK
Alexander,Nadj,0,0,0,0,0,0,0,0,1.8,40,GK
Pontus,Dahlberg,0,0,25,720,12,0,0,2,4.9,63,GK
Jonathan,Rasheed,0,0,0,0,0,0,0,0,0.2,48,GK
Johan,Brattberg,0,0,2,90,2,0,0,0,0.1,48,GK
Tobias,Carlsson,0,0,54,1707,32,4,0,6,0.7,44,DEF
Johan,Hammar,0,1,59,1653,32,2,2,5,0.9,52,DEF
Joona,Toivio,1,0,75,2030,32,5,0,2,6.0,60,DEF
Elohor Godswill,Ekpolo,3,2,125,2584,43,5,0,4,4.8,71,DEF
Rasmus,Lindgren,1,0,25,713,14,1,0,3,5.4,57,DEF
Oskar,Sverrisson,0,0,20,431,9,0,0,1,0.4,45,DEF
Valgeir,Lunddal Fridriksson,0,0,10,237,4,0,0,0,0.2,46,DEF
Yannick,Adjoumani,0,0,4,80,0,0,0,0,0.1,49,DEF
Gustaf,Berggren,1,6,94,2375,42,4,0,8,2.6,54,MID
Ali,Youssef,2,0,20,271,5,1,0,0,0.4,57,MID
Daleho,Irandust,2,1,22,340,8,0,0,2,0.5,89,MID
Alexander,Faltsetas,0,1,41,1445,27,2,0,8,0.5,48,MID
Tobias,Heintz,2,3,62,1249,19,3,0,2,3.3,64,MID
Erik,Friberg,0,2,41,1014,12,3,0,6,1.6,53,MID
Patrik,Wålemark,9,12,152,1959,32,6,0,3,20.3,76,MID
Samir,Maarouf,0,0,7,82,1,0,0,0,0.1,43,MID
Bénie,Traore,3,3,71,1312,22,1,0,1,4.2,54,MID
Leo,Bengtsson,6,2,97,2116,37,6,0,7,3.2,82,MID
William,Milovanovic,0,0,2,9,0,0,0,0,0.1,46,MID
Ture,Widestrand,0,0,0,0,0,0,0,0,0.1,44,MID
Alexander,Jeremejeff,11,3,122,2233,36,5,0,2,15.3,93,FWD
Jasse,Tuominen,1,0,26,625,14,1,0,0,0.1,64,FWD
Leonardo,Farah Shahin,0,0,0,0,0,0,0,0,0.1,48,FWD
Jack,Lahne,0,0,0,0,0,0,0,0,1.3,66,FWD
Samuel,Gustafson,0,0,4,124,1,0,0,0,0.0,63,MID
Nasiru,Mohammed,0,1,5,45,1,0,0,0,0.0,72,MID
Franklin,Tebo,0,1,9,174,3,0,0,0,0.0,50,DEF
Kristoffer,Lund,0,2,51,1267,23,3,0,2,0.5,55,DEF
Sebastian,Lagerlund,0,0,1,1,0,0,0,0,0.0,45,MID
Aleksandr,Vasyutin,0,0,48,835,5,5,0,0,2.8,57,GK
Tommy,Vaiho,0,0,10,154,2,1,0,0,0.7,59,GK
Hjalmar,Ekdal,4,0,135,2233,24,11,0,3,17.2,64,DEF
Erik,Berg,0,0,0,0,0,0,0,0,0.1,54,DEF
Linus,Tagesson,0,0,0,0,0,0,0,0,0.3,38,DEF
Jacob,Une Larsson,3,0,135,2375,27,12,0,5,15.8,62,DEF
Aslak Fonn,Witry,5,2,108,1260,12,7,0,2,14.8,88,DEF
Jesper,Nyholm,0,0,23,363,3,2,0,0,0.2,48,DEF
Elliot,Käck,0,3,133,2520,26,13,0,3,12.0,63,DEF
Melker,Jonsson,0,0,0,0,0,0,0,0,0.5,38,DEF
Axel,Wallenborg,0,0,0,0,0,0,0,0,0.0,44,DEF
Leo,Cornic,0,0,7,202,4,0,0,0,0.2,51,DEF
Isak,Hien,0,0,6,32,1,0,0,0,0.1,46,DEF
Nicklas,Bärkroth,4,4,94,1494,14,10,0,0,9.0,67,MID
Hampus,Finndell,3,0,92,2185,23,12,0,5,2.0,51,MID
Haris,Radetinac,3,4,94,1880,23,8,0,1,0.7,68,MID
Curtis,Edwards,0,0,17,329,0,3,0,0,0.8,52,MID
Edward,Chilufya,8,4,128,2316,30,11,0,1,29.3,70,MID
Mattias,Mitku,0,0,0,0,0,0,0,0,0.1,44,MID
Magnus,Eriksson,5,13,192,2700,30,13,0,2,41.2,99,MID
Emmanuel,Banda,4,0,47,683,11,0,0,2,0.2,58,MID
Rasmus,Schüller,0,1,81,2122,24,10,1,7,1.2,55,MID
Albion,Ademi,0,0,8,94,1,0,0,1,0.1,76,MID
Joel,Asoro,3,3,63,987,10,5,0,1,1.4,81,FWD
Emir,Kujovic,0,0,10,169,4,0,0,1,1.4,71,FWD
Karl,Holmberg,2,4,67,1523,16,12,0,3,6.4,76,FWD
Peter,McGregor,0,0,0,0,0,0,0,0,0.1,53,FWD
Jesper,Löfgren,1,1,70,1297,15,5,0,1,0.5,52,DEF
Jacob,Widell Zetterström,0,1,90,1710,23,7,0,1,6.0,46,GK
David,Celic,0,0,0,0,0,0,0,0,0.0,40,GK
